latitude,	longitude,	depth, salinity
38.4497464	-123.1259454	4358	0.5
38.4497465	-123.1259372	4320	0.07
38.4497462	-123.1259211	4245	0.07
38.4497463	-123.1259047	4160	0.25
38.4497466	-123.1258776	4130	0.07
38.4497471	-123.1258608	4067	0.19
38.4497474	-123.1258463	4017	0
38.4497457	-123.1258148	3946	0.07
38.449745	-123.1258015	3940	0.25
38.4497449	-123.1257827	3899	0
38.449745	-123.1257715	3862	0.13
38.4497458	-123.1257577	3828	0.07
38.449747	-123.1257465	3805	0.07
38.4497488	-123.1257189	3733	0.07
38.4497434	-123.125692	3697	0
38.4497361	-123.1256826	3717	0.13
38.4497273	-123.1256767	3750	0.07
